question,answer
What documents do I need to bring for ePassport enrolment?,"These are the typical documents you need for your ePassport application:
1.    Printed application form

2.    NID card

3.    Previous passport (if you have one)

4.    Birth certificate (if application is done for citizens younger than 18 years)

5.    Face photo for passport if applicant is younger than 6 years

6.    Face photo of parents / legal guardian if applicant is younger than 15 years



You also may need further documents in the following cases:
When data changed compared to your previous passport (e.g. address change, marriage, new profession, or others) you need to provide according supporting documents to the enrolment officer at the passport office.

If you are not sure what to bring along please contact your responsible passport office before your visit for enrolment."
I have an MRP - how is the process to get the ePassport?,"If you already have an MRP please fill in the complete online application form. There is no ""auto fill-in"" of data from MRP.

After submission please visit the passport office for enrolment. Bring your the MRP, NID/BRC and all other required supporting documents with you.

Also in the case you have an MRP another clearance by Special Branch Police may not be required. Please ask at the passport office during enrolment."
My present address changed compared to my previous passport - where do I need to apply?,"If your present address changed and is now different from the address used for the previous passport here is what you need to do:

Please state your new present address in the ePassport application.

Visit the passport office which belongs to your new present address. When you enter your present address in the online application your responsible passport office will automatically detected. You can only apply there.

If the passport office belonging to your new present address does not offer ePassport service yet - you need to wait with your application. Or you can still apply for the MRP there if you need it now.

We are planning to roll-out ePassport to all Bangladesh passport offices as soon as possible. We update constantly the FAQs - there you can find out if ePassport already arrived on your area."
Do I have to bring photos for applying for the ePassport?,"The face image for the new passport is taken during the enrolment at the passport office with a digital camera. So for most people there is no need to provide photos with the application.
There are exceptions for applications of minors:

For children up to 5 years the parents may provide a photo which will be scanned during enrolment. This photo should fulfill the requirements of biometric face images.
For all applications of children up to 15 years both parents have to provide their photos with the application. "
Can I also use the MRP application form to apply for ePassport?,"No, applications for ePassports can be done by online application only. A new ePassport offline application form will be introduced soon."
After how many years e-passport must be re-issued?,"Generally, e-passport is issued with the validity of 5/10 years. You can re-issue a new passport by mentioning the previous passport number before or after the expiry date as per your requirement."
"When the passport validity date expires, is there any fee to be paid for the expiry?","There is no fee to pay for the expiry of the passport validation date. In case of passport re-issue or re-new, only the fee prescribed by the Government of Bangladesh to be paid."
I have received an e-mail for collection of a new Passport from Passport office but I didn’t receive a message through mobile. Can I collect my passport?,"Yes, you can collect passport."
I have lost my e-Passport. I don’t have my previous e-Passport number. How can I get my previous e-Passport number?,"Please communicate with your designated Passport office for necessary information. To collect previous e-Passport no, you have to bring NID and BRC."
"While checking my passport status, I see “Pending for Backend Verification”. Now what I will do?",Please contact with respective Regional Passport Office (RPO).
What are the reasons for getting passport delayed?,"There may be several reasons for receiving passport delayed, such as:
Dissimilarities between the NID/BRC/MRP and the application.

If the personal information regarding the applicant’s name, parent’s name, Full name, Age or Permanents address is changed.

Due to police verification process.

if any person is having multiple previous passport which were not daring daring application.

If the applicant applies for changing personal information but didn’t provide supporting documents"
Do I need attest my photograph for e-Passport?,No attested photograph is needed
"if someone applies for new e-Passport, but he is having a Machine-Readable Passport (MRP) with validity, in this case can he get new e-Passport before finishing the validity of his previous passport? Can someone use previous Machine-Readable Passport aft","Any person can apply for e-Passport even if his/her Machine Readable Passport (MRP) still having validity.
If someone is issued with new e-Passport, then he/she will not be able to use his previous MRP. Because it’s validity will be cancelled from the system automatically. "
How can I change my information in the passport after I changing information of my NID?,You have to apply for a new e-Passport as per the new NID.
"I have applied for my passport in Chittagong, can I collect it from Dhaka?","The name of regional office or divisional office for passport collection will be mentioned in your Delivery slip, the passport should be collected from where it is mentioned in Delivery slip.
(Note: Only urgent passports (Super Express) should be collected from Agargaon Divisional Passport Office.)"
"In case of minors, who can collect the Passport?","In case of minors Passport collection, the father/mother of the applicant should come directly or the person who will receive the passport should bring his/her NID card and the Authorization Letter from applicant’s father/mother."
"I want to get a passport, I am 21 years old, but I don't have an ID card, I have birth registration, can I get a passport with birth registration?",As your age is above 20 years then you must collect NID card and make your passport according to NID card.
How do I apply for Super Express?,"When filling out the online application form, select Express. Then pay Super Express fee to the bank. At the time of biometric enrollment at the passport office, ask the operator. The operator can change your application to Super Express."
Can anyone below 15 years get a passport for 10 years?,"No one below 18 years of age can hold a passport for 10 years. If someone under 18 years of age wants to get a passport, he has to get a passport with a validity of 05 years."
What types of documents are required to show at passport office to collect a new passport?,"a. Delivery Slip (which you got during enrolment)

b. If the new passport belongs to your child (younger than 12 years) please also bring your own NID or passport.

c. If you want to collect the passport by somebody else, please provide signed authorization letter to him/her. The authorized individual to carry his/her NID along with authority letter.

d. Previous Passport (if it is the case of reissue)"
"After receiving a new passport, if I find any printing error in my passport, then how to get a corrected passport?",Please report to your designated Regional Passport Office within 01 month from the date of issue or collection.
How much is it important to provide previous passport number?,"It is the most important and must. Without declaration of previous passport, passport issuance process will not be completed."
"During LPR/PRL, can I use official passport?","Yes, you can use official passport up to the end of LPR/PRL period."
I have retired from Government service. Now what documents are required to complete enrollment process of E-Passport?,"When you will go to Passport office for enrollment/finger print for passport you have to carry following documents?

1.PRL Order copy
2.NID
3.Previous Passport
4.Hard copy of Application Form
5.Print Summary
6.Payment Slip"
How can I check the status of my passport application?,"Go to the Status Check on the ePassport portal home page. Enter your Application ID or Online Registration ID and date of birth of the applicant to see the current status of your passport application. The Application ID can be found on the delivery slip you received after enrolment at the passport office.



You also see the status of all your applications in your online portal account.
"
I have lost my delivery slip. Now how I will collect my passport?,"You have to do following action:
 1.Bring your Print Summary
 2.Bring your NID
 3.Bring Photo Copy of your Delivery Slip (if Possible)
4.GD Copy"
